DateTime,Total P,FracYear,d2H_1,d18O_1,d2H_2,d18O_2,d2H_3,d18O_3,d2H_4,d18O_4,d2H_5,d18O_5,d2H_6,d18O_6,d2H_7,d18O_7,d2H_8,d18O_8,d2H_9,d18O_9,d2H_10,d18O_10
2017-10-16,,0.7912388774811773,,,,,,,,,,,,,,,,,,,,
2017-10-17,0.56,0.7939767282683093,-130.5077027170941,-15.747530303724988,-139.4650332915689,-16.85185925113596,-139.4650332915689,-16.185024245189084,-159.0935259870705,-19.58758751348357,-134.45211904869709,-16.7864968360831,-128.2852160164352,-15.747530303724988,-159.0935259870705,-19.58758751348357,-153.97442487410405,-18.255209651020113,-130.5077027170941,-16.7864968360831,-124.58479730055139,-14.727779802187424
2017-10-18,0.38000000000000006,0.7967145790554405,-128.94209696773788,-15.835033467641855,-159.7504069383732,-19.675090677400437,-140.12191424287158,-16.873999999999967,-117.61471269993848,-14.815282966104292,-159.7504069383732,-19.675090677400437,-116.37765039189368,-14.393555286135726,-116.37765039189368,-14.393555286135726,-116.37765039189368,-14.393555286135726,-131.1645836683968,-16.873999999999967,-159.7504069383732,-18.34271281493698
2017-10-19,0.8200000000000001,0.7994524298425741,-160.41000265773374,-19.76284678100987,-155.29090154476728,-18.430468918546413,-135.76859571936032,-16.360283512715384,-140.78150996223212,-16.9617561036094,-140.78150996223212,-17.02711851866226,-140.78150996223212,-18.430468918546413,-160.41000265773374,-18.430468918546413,-135.76859571936032,-17.02711851866226,-140.78150996223212,-17.02711851866226,-131.82417938775734,-16.360283512715384
2017-10-20,1.81,0.8021902806297051,-161.0721179601656,-19.85082985586877,-136.43071102179218,-17.0497391784683,-132.4862946901892,-17.0497391784683,-155.95301684719914,-17.11510159352116,-136.43071102179218,-17.0497391784683,-155.95301684719914,-18.518451993405314,-130.26380798953028,-16.448266587574285,-132.4862946901892,-17.0497391784683,-161.0721179601656,-18.518451993405314,-155.95301684719914,-18.518451993405314
2017-10-21,0.5000000000000001,0.8049281314168374,-156.61745580213295,-19.939013866369915,-119.60086267666469,-15.07920615507377,-137.095149976726,-18.60663600390646,-142.1080642195978,-17.137923188969445,-130.9282469444641,-16.098956656611332,-156.61745580213295,-18.60663600390646,-161.7365569150994,-18.60663600390646,-118.36380036861989,-14.657478475105204,-130.9282469444641,-16.098956656611332,-161.7365569150994,-19.939013866369915
2017-10-22,0.38,0.8076659822039708,-131.5948129337232,-16.187315507687263,-157.28402179139206,-18.69499485498239,-142.7746302088569,-17.291644455098236,-119.030366357879,-14.745837326181135,-127.8943942178394,-16.04906413871001,-162.40312290435853,-20.027372717445846,-133.81729963438212,-17.226282040045376,-142.7746302088569,-16.62480944915136,-127.8943942178394,-16.187315507687263,-133.81729963438212,-16.187315507687263
2017-10-23,0.34,0.810403832991102,-163.0716186803419,-18.78350239982741,-134.4857954103655,-16.71331699399638,-163.0716186803419,-18.78350239982741,-128.5628899938228,-15.25607255099472,-134.4857954103655,-16.137571683555027,-143.4431259848403,-17.314789584890395,-134.4857954103655,-16.71331699399638,-163.0716186803419,-20.115880262290865,-128.5628899938228,-16.137571683555027,-143.4431259848403,-17.380151999943255
2017-10-24,0.02,0.813141683778234,-120.36908987791558,-14.922974918833884,-121.60615218596038,-15.34470259880245,-135.1560231544187,-16.80194704180411,-135.1560231544187,-16.80194704180411,-135.1560231544187,-16.80194704180411,-163.7418464243951,-20.204510310098595,-132.93353645375979,-16.80194704180411,-158.62274531142864,-20.204510310098595,-135.1560231544187,-16.80194704180411,-139.10043948602168,-17.403419632698125
2017-10-25,0.48,0.8158795345653663,-122.27791356691088,-15.433428922515809,-164.4136078053456,-18.960858771348498,-164.4136078053456,-20.293236633811954,-121.04085125886608,-15.011701242547243,-122.27791356691088,-16.314928055076116,-164.4136078053456,-20.293236633811954,-133.60529783471029,-16.45317942405337,-139.77220086697218,-16.45317942405337,-129.9048791188265,-15.433428922515809,-122.27791356691088,-15.011701242547243
2017-10-26,0.08,0.8186173853524985,-136.5008807682167,-16.97946970958979,-145.45821134269147,-19.04965511542082,-165.0867040381931,-20.382032977884275,-134.27839406755777,-16.541975768125692,-121.71394749171357,-15.100497586619564,-134.27839406755777,-16.97946970958979,-134.27839406755777,-16.403724399148437,-165.0867040381931,-20.382032977884275,-122.95100979975837,-15.100497586619564,-165.0867040381931,-20.382032977884275
