DateTime,Total P,FracYear,d2H_1,d18O_1,d2H_2,d18O_2,d2H_3,d18O_3,d2H_4,d18O_4,d2H_5,d18O_5,d2H_6,d18O_6,d2H_7,d18O_7,d2H_8,d18O_8,d2H_9,d18O_9,d2H_10,d18O_10
2017-10-16,,0.7912388774811773,,,,,,,,,,,,,,,,,,,,
2017-10-17,0.56,0.7939767282683093,-125.26845704353973,-15.632226572336098,-111.64720841018787,-13.77513586875375,-127.23886822726634,-16.239731148104763,-125.26845704353973,-15.632226572336098,-137.46110852939503,-16.239731148104763,-109.00207884676799,-13.75806839436817,-137.46110852939503,-16.987647790635183,-120.57460188376773,-14.85424036199333,-125.26845704353973,-15.632226572336098,-120.57460188376773,-14.85424036199333
2017-10-18,0.38000000000000006,0.7967145790554405,-127.65179585275865,-16.278233941128043,-137.87403615488736,-17.026150583658463,-115.87872040015633,-13.813638661777032,-137.87403615488736,-17.026150583658463,-120.98752950926004,-14.892743155016612,-120.98752950926004,-15.67072936535938,-127.65179585275865,-16.278233941128043,-120.98752950926004,-14.892743155016612,-109.4150064722603,-13.796571187391452,-125.68138466903204,-14.892743155016612
2017-10-19,0.8200000000000001,0.7994524298425741,-112.47801035653436,-13.852570979393022,-128.06967017361282,-16.317166258744034,-138.29191047574153,-17.065082901274454,-109.83288079311447,-13.835503505007441,-128.06967017361282,-16.317166258744034,-116.29659472101049,-14.931675472632602,-128.06967017361282,-16.317166258744034,-138.29191047574153,-17.065082901274454,-138.29191047574153,-17.065082901274454,-138.29191047574153,-17.065082901274454
2017-10-20,1.81,0.8021902806297051,-121.8281011905949,-14.971025794142076,-121.8281011905949,-14.971025794142076,-110.25557815359515,-13.874853826516915,-116.71929208149118,-14.502415731258703,-121.8281011905949,-14.971025794142076,-126.52195635036689,-15.749012004484843,-116.71929208149118,-13.891921300902496,-116.71929208149118,-14.502415731258703,-110.25557815359515,-13.874853826516915,-110.25557815359515,-13.874853826516915
2017-10-21,0.5000000000000001,0.8049281314168374,-139.14200315338059,-16.39627326126331,-139.14200315338059,-17.14418990379373,-128.91976285125187,-16.39627326126331,-139.14200315338059,-17.14418990379373,-122.25549650775326,-15.010782475151878,-126.94935166752526,-15.788768685494645,-139.14200315338059,-17.14418990379373,-110.68297347075352,-13.914610507526717,-122.25549650775326,-15.010782475151878,-110.68297347075352,-13.914610507526717
2017-10-22,0.38,0.8076659822039708,-127.3813184682108,-15.828919961363233,-122.6874633084388,-15.828919961363233,-122.6874633084388,-15.050933751020466,-113.76006983485894,-13.971829257780886,-117.57865419933508,-14.582323688137093,-139.57396995406611,-17.18434117966232,-122.6874633084388,-15.050933751020466,-122.6874633084388,-15.050933751020466,-127.3813184682108,-16.4364245371319,-127.3813184682108,-15.050933751020466
2017-10-23,0.34,0.810403832991102,-127.81772892649697,-15.869453950682063,-118.01506465762125,-14.622857677455922,-129.7881401102236,-16.476958526450726,-123.12387376672497,-15.091467740339295,-118.01506465762125,-15.091467740339295,-140.01038041235228,-17.224875168981146,-127.81772892649697,-15.869453950682063,-114.19648029314511,-14.012363247099715,-140.01038041235228,-17.224875168981146,-114.19648029314511,-14.012363247099715
2017-10-24,0.02,0.813141683778234,-114.6372052681566,-14.053267955209256,-130.22886508523507,-16.517863234560267,-140.45110538736378,-16.517863234560267,-130.22886508523507,-16.517863234560267,-118.45578963263274,-14.663762385565462,-130.22886508523507,-17.265779877090687,-111.99207570473672,-14.036200480823675,-140.45110538736378,-17.265779877090687,-114.6372052681566,-14.053267955209256,-130.22886508523507,-16.517863234560267
2017-10-25,0.48,0.8158795345653663,-112.43698477886277,-14.0774638033627,-118.90069870675879,-14.705025708104488,-124.0095078158625,-15.173635770987861,-128.70336297563452,-15.173635770987861,-128.70336297563452,-16.559126557099294,-112.43698477886277,-14.0774638033627,-124.0095078158625,-15.951621981330629,-128.70336297563452,-15.951621981330629,-140.8960144614898,-17.307043199629714,-128.70336297563452,-15.951621981330629
2017-10-26,0.08,0.8186173853524985,-112.88594629635037,-14.119073529850198,-129.1523244931221,-15.993231707818126,-141.34497597897743,-17.34865292611721,-112.88594629635037,-14.119073529850198,-141.34497597897743,-17.34865292611721,-141.34497597897743,-17.34865292611721,-129.1523244931221,-15.993231707818126,-141.34497597897743,-16.60073628358679,-131.12273567684872,-16.60073628358679,-115.53107585977025,-14.136141004235778
2017-10-27,0.33999999999999997,0.8213552361396309,-115.98395696568338,-14.78857925204046,-115.98395696568338,-14.178084821684253,-129.60520559903523,-15.257189314923833,-115.98395696568338,-14.161017347298673,-129.60520559903523,-16.035175525266602,-113.33882740226349,-14.161017347298673,-131.57561678276184,-16.642680101035264,-124.91135043926323,-16.035175525266602,-141.79785708489055,-17.390596743565684,-119.80254133015951,-15.257189314923833
2017-10-28,1.4300000000000002,0.824093086926763,-113.79549408179659,-14.20328284385772,-142.25452376442365,-17.43286224012473,-132.03228346229494,-17.43286224012473,-116.44062364521648,-14.2203503182433,-113.79549408179659,-14.20328284385772,-132.03228346229494,-17.43286224012473,-120.25920800969261,-14.830844748599507,-130.06187227856833,-16.07744102182565,-113.79549408179659,-14.2203503182433,-125.36801711879633,-15.29945481148288
2017-10-29,0.13999999999999999,0.8268309377138939,-125.8283342369318,-15.342029480112073,-120.71952512782808,-14.8734194172287,-120.71952512782808,-15.342029480112073,-114.25581119993205,-14.245857512486912,-142.71484088255912,-17.475436908753924,-142.71484088255912,-17.475436908753924,-130.5221893967038,-16.727520266223504,-116.90094076335194,-14.262924986872493,-130.5221893967038,-16.120015690454842,-142.71484088255912,-17.475436908753924
2017-10-30,3.5,0.8295687885010273,-143.17867222405647,-17.518308150923907,-121.18335646932545,-14.916290659398681,-114.71964254142942,-14.288728754656894,-143.17867222405647,-17.518308150923907,-117.36477210484931,-14.305796229042475,-117.36477210484931,-14.305796229042475,-114.71964254142942,-14.288728754656894,-117.36477210484931,-14.916290659398681,-114.71964254142942,-14.288728754656894,-114.71964254142942,-14.288728754656894
2017-10-31,0.19999999999999998,0.8323066392881585,-133.42364023162995,-16.813546637813893,-117.83198041455148,-14.348951358462882,-131.45322904790333,-16.20604206204523,-143.64588053375866,-17.561463280344313,-131.45322904790333,-15.428055851702462,-133.42364023162995,-16.20604206204523,-143.64588053375866,-17.561463280344313,-143.64588053375866,-17.561463280344313,-133.42364023162995,-16.813546637813893,-126.75937388813134,-15.428055851702462
2017-11-01,,0.8350444900752906,,,,,,,,,,,,,,,,,,,,
2017-11-02,0.18,0.837782340862423,-144.5898740815695,-17.6485740395203,-144.5898740815695,-17.6485740395203,-134.36763377944078,-16.90065739698988,-132.39722259571417,-16.29315282122122,-118.77597396236231,-15.046556547995078,-132.39722259571417,-16.90065739698988,-134.36763377944078,-16.90065739698988,-132.39722259571417,-16.29315282122122,-134.36763377944078,-16.29315282122122,-118.77597396236231,-14.41899464325329
2017-11-03,1.4900000000000002,0.840520191649555,-119.25247985759259,-15.090486400275523,-116.6073502941727,-14.462924495533736,-132.87372849094444,-16.944587249270327,-145.06637997679977,-17.692503891800747,-145.06637997679977,-17.692503891800747,-132.87372849094444,-15.559096463158896,-132.87372849094444,-16.337082673501666,-123.07106422206873,-14.479991969919316,-116.6073502941727,-14.462924495533736,-134.84413967467106,-16.337082673501666
2017-11-04,,0.8432580424366874,,,,,,,,,,,,,,,,,,,,
2017-11-05,0.6400000000000001,0.8459958932238196,-120.21380490362557,-14.568535625961626,-135.80546472070404,-17.03313090531264,-120.21380490362557,-14.568535625961626,-124.03238926810171,-15.179030056317833,-133.83505353697743,-16.425626329543974,-133.83505353697743,-16.425626329543974,-135.80546472070404,-17.03313090531264,-146.02770502283275,-17.78104754784306,-135.80546472070404,-16.425626329543974,-135.80546472070404,-17.03313090531264
2017-11-06,0.18,0.8487337440109507,-134.31958821623255,-17.077718507582127,-146.51223970208787,-17.825635150112547,-134.31958821623255,-15.692227721470694,-120.69833958288069,-14.613123228231114,-118.0532100194608,-14.596055753845533,-136.28999939995916,-17.077718507582127,-146.51223970208787,-17.825635150112547,-146.51223970208787,-17.825635150112547,-120.69833958288069,-14.613123228231114,-124.51692394735683,-14.613123228231114
2017-11-07,1.07,0.8514715947980841,-136.77692459117122,-17.12249905409864,-121.18526477409276,-14.657903774747627,-130.1126582476726,-15.737008267987207,-118.54013521067287,-14.640836300362047,-134.8065134074446,-15.737008267987207,-121.18526477409276,-14.657903774747627,-136.77692459117122,-17.12249905409864,-130.1126582476726,-16.514994478329974,-130.1126582476726,-15.268398205103834,-121.18526477409276,-14.657903774747627
2017-11-08,0.42,0.8542094455852149,-125.49302075273904,-15.313358444583129,-119.02930682484302,-14.685796539841341,-125.49302075273904,-15.313358444583129,-147.48833650747008,-17.915375936108354,-135.29568502161476,-16.55995471780927,-135.29568502161476,-16.55995471780927,-125.49302075273904,-14.702864014226922,-130.60182986184276,-15.781968507466502,-121.6744363882629,-14.702864014226922,-130.60182986184276,-15.781968507466502
2017-11-09,0.54,0.8569472963723471,-125.98429403611733,-15.358485072567062,-131.09310314522105,-15.827095135450435,-122.1657096716412,-15.358485072567062,-119.52058010822131,-14.730923167825274,-122.1657096716412,-14.747990642210855,-147.97960979084837,-17.212585921561868,-125.98429403611733,-15.827095135450435,-147.97960979084837,-17.960502564092288,-147.97960979084837,-17.960502564092288,-125.98429403611733,-15.358485072567062
2017-11-10,0.54,0.8596851471594796,-148.47283936776628,-18.00578222688561,-148.47283936776628,-18.00578222688561,-148.47283936776628,-18.00578222688561,-131.58633272213896,-15.872374798243758,-122.65893924855911,-14.793270305004178,-148.47283936776628,-18.00578222688561,-138.25059906563757,-17.25786558435519,-136.28018788191096,-16.650361008586525,-138.25059906563757,-17.25786558435519,-138.25059906563757,-17.25786558435519
2017-11-11,0.24,0.8624229979466116,-136.7752277978012,-16.695780307208523,-120.50884960102945,-14.821622129240595,-148.96787928365652,-18.051201525507608,-123.15397916444934,-14.838689603626175,-132.0813726380292,-16.695780307208523,-126.97256352892548,-15.449184033982382,-120.50884960102945,-14.821622129240595,-120.50884960102945,-14.821622129240595,-126.97256352892548,-14.838689603626175,-126.97256352892548,-15.449184033982382
2017-11-12,1.1500000000000001,0.865160848733744,-123.65068292903649,-14.884235097775669,-137.27193156238835,-16.741325801358016,-137.27193156238835,-17.34883037712668,-139.24234274611496,-17.34883037712668,-149.46458304824367,-17.34883037712668,-127.46926729351263,-15.494729528131876,-123.65068292903649,-14.884235097775669,-132.57807640261635,-16.741325801358016,-127.46926729351263,-15.494729528131876,-132.57807640261635,-15.963339591015249
2017-11-13,1.25,0.8678986995208763,-149.96280367889258,-18.14240523168961,-149.96280367889258,-18.14240523168961,-127.96748792416155,-14.929893309808179,-149.96280367889258,-18.14240523168961,-133.07629703326526,-16.00899780304776,-121.50377399626552,-14.912825835422598,-127.96748792416155,-16.00899780304776,-139.74056337676387,-17.39448858915919,-133.07629703326526,-16.00899780304776,-133.07629703326526,-16.786984013390526
