DateTime,Total P,FracYear,d2H_1,d18O_1,d2H_2,d18O_2,d2H_3,d18O_3,d2H_4,d18O_4,d2H_5,d18O_5,d2H_6,d18O_6,d2H_7,d18O_7,d2H_8,d18O_8,d2H_9,d18O_9,d2H_10,d18O_10
2018-09-06,0.7200000000000002,0.6817248459958938,-102.97398432047164,-14.007895037473094,-122.59710867471826,-16.976483923167972,-107.31983412426402,-14.416893526685824,-81.86015903115454,-11.689280336786773,-117.60727184006845,-15.519793788140298,-102.97398432047164,-14.007895037473094,-126.72186987184804,-16.976483923167972,-117.60727184006845,-15.860285450493793,-122.59710867471826,-15.860285450493793,-99.85287864841179,-13.88851978852885
2018-09-07,1.1000000000000003,0.6844626967830255,-81.9348812282513,-11.702557150867447,-107.3945563213608,-14.021171851553769,-103.0487065175684,-14.021171851553769,-107.3945563213608,-15.533070602220972,-103.0487065175684,-14.021171851553769,-126.79659206894482,-15.873562264574467,-138.08632584845626,-16.326681982942898,-107.3945563213608,-14.021171851553769,-122.67183087181502,-16.326681982942898,-113.43123039028075,-15.873562264574467
2018-09-08,1.0100000000000005,0.6872005475701571,-103.11207132159656,-15.544920297245497,-103.11207132159656,-14.442020035791023,-138.1496906524844,-18.213731350208445,-126.85995687297296,-17.00161043227317,-113.49459519430891,-14.033021546578293,-103.11207132159656,-14.033021546578293,-107.45792112538894,-15.544920297245497,-103.11207132159656,-13.913646297634049,-138.1496906524844,-18.213731350208445,-99.9909656495367,-13.913646297634049
2018-09-09,1.1600000000000004,0.6899383983572891,-107.50990978568356,-15.555339366698473,-122.7871843361378,-16.348950747420396,-107.50990978568356,-14.043440616031269,-100.04295430983133,-13.924065367087024,-113.54658385460354,-15.895831029051967,-122.7871843361378,-16.348950747420396,-100.04295430983133,-14.043440616031269,-138.20167931277902,-18.22415041966142,-113.54658385460354,-14.043440616031269,-117.79734750148799,-16.348950747420396
2018-09-10,0.7900000000000003,0.692676249144422,-122.82778146841788,-16.357936108131547,-103.20465711417127,-14.05242597674242,-126.95254266554767,-16.357936108131547,-117.83794463376807,-15.904816389763118,-107.55050691796365,-15.904816389763118,-138.2422764450591,-18.23313578037257,-82.09083182485416,-11.733811276056098,-82.09083182485416,-11.733811276056098,-107.55050691796365,-15.564324727409623,-126.95254266554767,-16.357936108131547
2018-09-11,0.9300000000000004,0.695414099931554,-122.85697505933881,-15.571873720466144,-138.27147003598003,-17.028563855493818,-126.9817362564686,-17.028563855493818,-82.12002541577509,-11.741360269112619,-122.85697505933881,-15.912365382819639,-117.867138224689,-15.571873720466144,-107.57970050888457,-13.940599720854696,-117.867138224689,-16.365485101188067,-113.61637457780455,-14.05997496979894,-107.57970050888457,-15.571873720466144
2018-09-12,1.3100000000000003,0.6981519507186857,-138.2892514466886,-18.246795164962492,-100.1305264437409,-13.946710112388097,-122.87475647004737,-15.91847577435304,-138.2892514466886,-18.246795164962492,-107.59748191959315,-13.946710112388097,-138.2892514466886,-17.03467424702722,-126.99951766717717,-17.03467424702722,-138.2892514466886,-17.03467424702722,-117.88491963539757,-15.91847577435304,-117.88491963539757,-15.91847577435304
2018-09-13,0.7700000000000002,0.7008898015058174,-107.60384588828384,-14.07075534317946,-138.2956154153793,-18.25146514680961,-122.88112043873807,-17.039344228874338,-113.6405199572038,-15.582654093846664,-127.00588163586787,-18.25146514680961,-122.88112043873807,-16.376265474568587,-117.89128360408826,-16.376265474568587,-127.00588163586787,-17.039344228874338,-122.88112043873807,-16.376265474568587,-127.00588163586787,-17.039344228874338
2018-09-14,1.0000000000000004,0.7036276522929504,-100.1318350559037,-13.954608284473291,-113.6354646006759,-15.58588228408474,-138.29056005885138,-18.254693337047687,-113.6354646006759,-15.926373946438234,-117.88622824756035,-14.073983533417536,-122.87606508221016,-17.042572419112414,-138.29056005885138,-17.042572419112414,-127.00082627933995,-17.042572419112414,-107.59879053175592,-14.482982022630265,-103.25294072796355,-13.954608284473291
2018-09-15,0.7400000000000002,0.7063655030800821,-82.12264225286127,-11.757154276086816,-138.2740868730662,-17.044357862468015,-107.58231734597075,-15.58766772744034,-126.98435309355477,-17.044357862468015,-100.11536187011852,-13.956393727828893,-113.61899141489073,-14.484767465985867,-107.58231734597075,-15.58766772744034,-117.86975506177518,-15.928159389793835,-138.2740868730662,-18.256478780403288,-126.98435309355477,-16.381279108162264
2018-09-16,1.2100000000000004,0.7091033538672139,-138.2462007327045,-18.256820948535005,-117.84186892141345,-15.928501557925552,-107.55443120560903,-14.485109634117583,-126.95646695319306,-17.04470003059973,-103.20858140181664,-14.076111144904853,-107.55443120560903,-14.485109634117583,-117.84186892141345,-16.38162127629398,-82.09475611249954,-11.757496444218532,-138.2462007327045,-18.256820948535005,-122.83170575606326,-15.928501557925552
2018-09-17,0.9000000000000002,0.7118412046543457,-82.05546526951882,-11.75639523587331,-82.05546526951882,-11.75639523587331,-126.91717611021232,-16.38052006794876,-100.04818488677607,-14.075009936559631,-117.80257807843273,-15.586908687226835,-122.79241491308254,-17.04359882225451,-113.55181443154828,-15.92740034958033,-138.20690988972376,-18.255719740189782,-122.79241491308254,-17.04359882225451,-82.05546526951882,-11.75639523587331
2018-09-18,0.9300000000000004,0.7145790554414786,-126.86649219140517,-17.041054563297607,-107.46445644382115,-14.481464166815458,-117.75189415962558,-15.584364428269932,-138.1562259709166,-18.25317548123288,-103.11860664002877,-14.481464166815458,-138.1562259709166,-17.041054563297607,-117.75189415962558,-16.377975808991856,-122.74173099427539,-15.924856090623427,-126.86649219140517,-17.041054563297607,-107.46445644382115,-14.072465677602729
2018-09-19,0.9100000000000003,0.7173169062286106,-117.68983216317903,-15.920869533942012,-107.4023944473746,-14.068479120921314,-138.09416397447006,-18.249188924551465,-122.67966899782884,-16.37398925231044,-113.43906851629458,-16.37398925231044,-81.94271935426512,-11.749864420234992,-126.80443019495863,-17.03706800661619,-138.09416397447006,-18.249188924551465,-117.68983216317903,-16.37398925231044,-126.80443019495863,-17.03706800661619
2018-09-20,0.8500000000000003,0.7200547570157423,-113.36564680735182,-15.574950196868846,-81.86929764532236,-11.744436745515321,-126.73100848601587,-17.03164033189652,-122.60624728888608,-15.91544185922234,-99.86201726257961,-14.472049935414372,-138.0207422655273,-18.243761249831792,-107.32897273843184,-14.063051446201642,-138.0207422655273,-18.243761249831792,-126.73100848601587,-17.03164033189652,-126.73100848601587,-16.36856157759077
2018-09-21,0.41999999999999993,0.7227926078028739,-137.9359825707533,-18.236894063210137,-113.28088711257783,-14.465182748792715,-122.52148759411209,-16.361694390969113,-122.52148759411209,-15.908574672600684,-137.9359825707533,-18.236894063210137,-122.52148759411209,-16.361694390969113,-117.53165075946228,-15.56808301024719,-102.89836323986547,-14.056184259579986,-137.9359825707533,-18.236894063210137,-117.53165075946228,-15.56808301024719
2018-09-22,0.54,0.7255304585900074,-107.14814044480985,-15.559778343834548,-117.43557816061428,-15.900270006188043,-113.18481451372983,-14.456878082380074,-137.8399099719053,-18.228589396797496,-99.68118496895762,-14.047879593167345,-113.18481451372983,-14.456878082380074,-113.18481451372983,-15.900270006188043,-122.42541499526409,-15.900270006188043,-117.43557816061428,-15.559778343834548,-113.18481451372983,-15.559778343834548
2018-09-23,0.9800000000000004,0.7282683093771393,-137.7325528984111,-18.218849708078277,-137.7325528984111,-18.218849708078277,-137.7325528984111,-18.218849708078277,-107.04078337131563,-14.447138393660856,-137.7325528984111,-18.218849708078277,-122.31805792176986,-15.890530317468825,-99.5738278954634,-13.918764655503882,-117.32822108712006,-15.890530317468825,-102.69493356752325,-11.719525203761805,-113.0774574402356,-15.55003865511533
2018-09-24,0.7100000000000002,0.7310061601642704,-99.4552181160082,-14.026968075552922,-99.4552181160082,-13.907592826608678,-81.46249849875095,-11.7083533748666,-137.6139431189559,-18.207677879183073,-117.20961130766486,-15.538866826220126,-122.19944814231467,-15.87935848857362,-137.6139431189559,-18.207677879183073,-112.9588476607804,-14.435966564765652,-81.46249849875095,-11.7083533748666,-112.9588476607804,-15.87935848857362
2018-09-25,0.8200000000000002,0.7337440109514041,-122.0696207554403,-16.31987754379475,-106.79234620498607,-14.01436741240562,-137.48411573208153,-18.19507721603577,-81.33267111187658,-13.894992163461376,-122.0696207554403,-16.31987754379475,-137.48411573208153,-18.19507721603577,-99.32539072913383,-13.894992163461376,-117.07978392079049,-15.866757825426319,-126.1943819525701,-16.982956298100497,-99.32539072913383,-13.894992163461376
2018-09-26,0.8500000000000003,0.7364818617385355,-137.34310915580073,-18.181051447375346,-112.68801369762525,-14.409340132957926,-81.19166453559579,-11.681726943058875,-137.34310915580073,-18.181051447375346,-99.18438415285304,-11.681726943058875,-99.18438415285304,-13.880966394800952,-81.19166453559579,-11.681726943058875,-137.34310915580073,-18.181051447375346,-102.3054898249129,-13.880966394800952,-106.65133962870527,-15.5122403944124
2018-09-27,0.7700000000000002,0.7392197125256673,-106.49919558913246,-14.393893409234968,-125.90123133671648,-16.953483805717116,-102.15334578534008,-13.984894920022239,-121.77647013958669,-15.837285333042937,-116.78663330493688,-15.837285333042937,-125.90123133671648,-16.290405051411366,-137.19096511622791,-18.16560472365239,-99.03224011328022,-13.865519671077994,-125.90123133671648,-16.953483805717116,-137.19096511622791,-18.16560472365239
2018-09-28,0.45000000000000007,0.7419575633127993,-101.99010930434427,-13.968031812170807,-121.61323365859089,-15.820422225191505,-80.87628401502717,-11.649417111484485,-98.86900363228442,-13.848656563226562,-112.37263317705663,-15.47993056283801,-112.37263317705663,-15.820422225191505,-112.37263317705663,-14.377030301383536,-101.99010930434427,-13.968031812170807,-137.0277286352321,-18.148741615800958,-125.73799485572067,-16.936620697865685
2018-09-29,0.38,0.7446954140999319,-112.19835255893878,-15.802147723276516,-136.85344801711426,-18.130467113885967,-125.56371423760282,-16.255267441644946,-98.69472301416657,-13.830382061311573,-136.85344801711426,-18.130467113885967,-98.69472301416657,-11.631142609569496,-136.85344801711426,-18.130467113885967,-80.70200339690932,-11.631142609569496,-116.44911620582323,-15.802147723276516,-98.69472301416657,-13.830382061311573
2018-09-30,0.48000000000000004,0.747433264887064,-121.253679857672,-16.235586953385525,-121.253679857672,-16.898665707691276,-136.66817483431322,-18.11078662562655,-116.26384302302219,-15.782467235017096,-136.66817483431322,-18.11078662562655,-116.26384302302219,-15.782467235017096,-116.26384302302219,-16.235586953385525,-136.66817483431322,-18.11078662562655,-98.50944983136553,-11.611462121310076,-121.253679857672,-16.235586953385525
2018-10-01,0.19999999999999998,0.7501711156741959,-125.1822301326331,-16.877585056860532,-80.32051929193959,-11.590381470479334,-125.1822301326331,-16.877585056860532,-116.0676321008535,-15.761386584186354,-121.05746893550331,-15.761386584186354,-116.0676321008535,-15.42089492183286,-101.4343445812567,-13.789620922221411,-116.0676321008535,-15.42089492183286,-116.0676321008535,-15.761386584186354,-80.32051929193959,-11.590381470479334
2018-10-02,2.319999999999999,0.7529089664613274,-98.10614830962915,-13.767146346923083,-136.26487331257684,-18.067231399497476,-111.60977785440136,-13.886521595867327,-98.10614830962915,-11.567906895181006,-111.60977785440136,-15.39842034653453,-101.227253981689,-13.886521595867327,-124.9751395330654,-16.192031727256456,-120.85037833593562,-18.067231399497476,-115.86054150128581,-15.39842034653453,-105.57310378548138,-14.295520085080057
2018-10-03,1.1500000000000001,0.7556468172484606,-120.63246934040892,-16.831248632384682,-124.7572305375387,-15.715050159710502,-97.88823931410245,-13.74328449774556,-120.63246934040892,-15.374558497357008,-136.04696431705014,-16.831248632384682,-136.04696431705014,-16.831248632384682,-115.64263250575911,-15.715050159710502,-136.04696431705014,-16.831248632384682,-120.63246934040892,-16.16816987807893,-111.39186885887466,-15.715050159710502
2018-10-04,1.14,0.758384668035592,-115.41396959705125,-15.68980809775889,-100.78068207745444,-13.837417684738192,-100.78068207745444,-13.837417684738192,-124.52856762883084,-15.68980809775889,-115.41396959705125,-16.14292781612732,-97.65957640539459,-13.718042435793947,-115.41396959705125,-15.68980809775889,-124.52856762883084,-16.80600657043307,-100.78068207745444,-14.246416173950921,-124.52856762883084,-16.80600657043307
2018-10-05,0.9500000000000003,0.7611225188227239,-124.2892184719752,-16.779391765239584,-100.5413329205988,-13.810802879544706,-120.16445727484542,-16.116313010933833,-79.4275076312817,-11.492188178858385,-120.16445727484542,-15.663193292565404,-135.57895225148664,-17.991512683174857,-120.16445727484542,-15.663193292565404,-115.17462044019561,-15.32270163021191,-115.17462044019561,-16.116313010933833,-97.42022724853895,-13.691427630600462
2018-10-06,1.02,0.7638603696098561,-97.17026267080178,-13.663447957914151,-114.92465586245844,-16.751412092553274,-79.17754305354453,-11.464208506172074,-100.29136834286163,-13.782823206858396,-79.17754305354453,-11.464208506172074,-110.67389221557397,-14.191821696071125,-114.92465586245844,-15.635213619879094,-135.32898767374948,-16.751412092553274,-97.17026267080178,-13.782823206858396,-124.03925389423804,-16.751412092553274
2018-10-07,1.6900000000000006,0.7665982203969884,-96.9097566407232,-13.634111697370315,-123.77874786415947,-16.058997077703687,-123.77874786415947,-17.93419674994471,-78.91703702346595,-11.434872245628238,-96.9097566407232,-11.434872245628238,-104.37671211657545,-14.16248543552729,-114.66414983237986,-15.605877359335258,-78.91703702346595,-11.434872245628238,-78.91703702346595,-13.634111697370315,-123.77874786415947,-16.722075832009438
2018-10-08,1.1400000000000003,0.7693360711841207,-78.64606662897141,-11.404188078298347,-119.38301627253513,-15.575193192005367,-123.50777746966492,-16.691391664679546,-123.50777746966492,-16.028312910373796,-119.38301627253513,-15.575193192005367,-78.64606662897141,-13.603427530040424,-99.75989191828852,-13.722802778984668,-96.63878624622866,-13.603427530040424,-123.50777746966492,-16.691391664679546,-119.38301627253513,-16.691391664679546
2018-10-09,0.6800000000000003,0.7720739219712526,-78.3647120545602,-13.571404535863259,-78.3647120545602,-11.372165084121182,-99.4785373438773,-13.571404535863259,-99.4785373438773,-14.099778274020233,-109.86106121658966,-15.202678535474707,-123.2264228952537,-16.65936867050238,-114.11182486347411,-15.99628991619663,-123.2264228952537,-16.65936867050238,-119.10166169812392,-15.99628991619663,-103.82438714766968,-14.099778274020233
2018-10-10,0.8900000000000001,0.774811772758384,-134.22450117778237,-17.83813724353239,-118.81000620114114,-15.962937571291368,-99.18688184689452,-13.657427439902241,-109.56940571960686,-14.06642592911497,-103.53273165068691,-13.538052190957997,-122.93476739827094,-16.626016325597117,-118.81000620114114,-15.50981785292294,-134.22450117778237,-16.626016325597117,-134.22450117778237,-17.83813724353239,-78.07305655757742,-11.33881273921592
2018-10-11,1.2200000000000006,0.7775496235455174,-133.9226310637816,-17.803465417394445,-77.77118644357667,-11.304140913077974,-118.50813608714039,-16.591344499459172,-122.63289728427017,-16.591344499459172,-109.26753560560613,-13.622755613764296,-118.50813608714039,-15.928265745153423,-98.88501173289377,-13.622755613764296,-103.23086153668615,-13.622755613764296,-77.77118644357667,-11.304140913077974,-103.23086153668615,-13.622755613764296
2018-10-12,1.0200000000000002,0.7802874743326486,-77.45919104078176,-13.467399317400648,-133.6106356609867,-17.767484369975044,-108.95554020281122,-15.098673317012096,-133.6106356609867,-17.767484369975044,-98.57301633009887,-13.586774566344893,-102.91886613389124,-15.098673317012096,-95.45191065803901,-13.467399317400648,-95.45191065803901,-11.268159865658571,-108.95554020281122,-13.995773055557622,-95.45191065803901,-11.268159865658571
2018-10-13,1.2000000000000004,0.7830253251197806,-102.59683776676104,-13.95849343422753,-121.99887351434506,-16.518083830709678,-108.63351183568102,-15.061393695682003,-112.88427548256547,-15.401885358035498,-121.99887351434506,-17.73020474864495,-98.25098796296867,-13.430119696070555,-102.59683776676104,-13.95849343422753,-117.87411231721528,-15.855005076403927,-112.88427548256547,-15.061393695682003,-77.13716267365156,-11.230880244328478
2018-10-14,1.3300000000000003,0.7857631759069128,-102.26487172867041,-13.919926270626481,-76.80519663556093,-11.19231308072743,-76.80519663556093,-11.19231308072743,-112.55230944447484,-15.022826532080956,-94.79791625281818,-13.510927781413752,-102.26487172867041,-13.919926270626481,-112.55230944447484,-15.36331819443445,-97.91902192487804,-13.510927781413752,-117.54214627912465,-15.81643791280288,-117.54214627912465,-16.47951666710863
2018-10-15,2.1000000000000005,0.788501026694045,-107.95974032263081,-15.323474901206644,-97.57721644991845,-13.471084488185946,-97.57721644991845,-15.323474901206644,-132.6148357808063,-16.439673373880822,-94.4561107778586,-13.351709239241702,-94.4561107778586,-13.351709239241702,-97.57721644991845,-13.471084488185946,-97.57721644991845,-13.351709239241702,-101.92306625371083,-13.471084488185946,-97.57721644991845,-13.471084488185946
2018-10-16,1.6600000000000008,0.7912388774811773,-111.8589602034259,-15.282367268623561,-132.26329201471694,-17.610686659233014,-97.22567268382909,-13.310601606658619,-76.11184739451198,-11.111362154916542,-101.57152248762148,-13.838975344815593,-120.9735582352055,-17.610686659233014,-120.9735582352055,-16.39856574129774,-116.8487970380757,-15.73548698699199,-111.8589602034259,-15.282367268623561,-76.11184739451198,-13.310601606658619
