DateTime,Total P,FracYear,d2H_1,d18O_1,d2H_2,d18O_2,d2H_3,d18O_3,d2H_4,d18O_4,d2H_5,d18O_5,d2H_6,d18O_6,d2H_7,d18O_7,d2H_8,d18O_8,d2H_9,d18O_9,d2H_10,d18O_10
2017-07-09,,0.5201916495550991,,,,,,,,,,,,,,,,,,,,
2017-07-10,,0.5229295003422318,,,,,,,,,,,,,,,,,,,,
2017-07-11,0.44,0.5256673511293638,-130.43194007937169,-16.352975296784884,-129.2675141291666,-16.273021482310597,-129.2675141291666,-16.273021482310597,-130.43194007937169,-16.352975296784884,-126.77647841946339,-15.61197748828221,-130.43194007937169,-16.352975296784884,-130.43194007937169,-16.352975296784884,-126.77647841946339,-16.273021482310597,-129.2675141291666,-16.273021482310597,-126.77647841946339,-16.273021482310597
2017-07-12,3.85,0.5284052019164954,-132.01876767752265,-16.353101166251754,-129.21261934677074,-16.273147351777467,-138.14815267243046,-17.403136652962946,-129.21261934677074,-16.273147351777467,-129.21261934677074,-15.612103357749081,-138.14815267243046,-17.403136652962946,-126.72158363706751,-15.612103357749081,-145.1306363277266,-18.069578101801266,-138.14815267243046,-16.423771172296934,-130.3770452969758,-16.423771172296934
2017-07-13,,0.5311430527036274,,,,,,,,,,,,,,,,,,,,
2017-07-14,,0.5338809034907602,,,,,,,,,,,,,,,,,,,,
2017-07-15,6.71,0.5366187542778922,-126.58363097198551,-15.615692916102287,-131.88081501244065,-16.42736073065014,-129.07466668168874,-16.276736910130673,-130.2390926318938,-16.35669072460496,-126.58363097198551,-15.615692916102287,-129.07466668168874,-15.615692916102287,-138.01020000734846,-17.40672621131615,-126.58363097198551,-15.615692916102287,-129.07466668168874,-16.276736910130673,-130.2390926318938,-16.35669072460496
2017-07-16,,0.5393566050650237,,,,,,,,,,,,,,,,,,,,
2017-07-17,3.7800000000000002,0.5420944558521558,-144.9231243855574,-18.078233387650354,-130.16953335480662,-16.281802637626555,-129.00510740460155,-16.281802637626555,-126.51407169489832,-15.620758643598169,-130.16953335480662,-16.361756452100842,-129.00510740460155,-15.620758643598169,-129.00510740460155,-16.281802637626555,-131.81125573535346,-16.432426458146022,-130.16953335480662,-16.432426458146022,-129.00510740460155,-16.281802637626555
2017-07-18,0.36,0.5448323066392885,-131.78323171454173,-16.365089111027682,-130.1415093339949,-16.365089111027682,-144.89510036474567,-18.081566046577194,-131.78323171454173,-16.435759117072863,-144.89510036474567,-17.415124597738874,-128.97708338378982,-16.285135296553396,-137.91261670944954,-18.081566046577194,-137.91261670944954,-17.415124597738874,-131.78323171454173,-16.435759117072863,-144.89510036474567,-18.081566046577194
