DateTime,Total P,FracYear,d2H_1,d18O_1,d2H_2,d18O_2,d2H_3,d18O_3,d2H_4,d18O_4,d2H_5,d18O_5,d2H_6,d18O_6,d2H_7,d18O_7,d2H_8,d18O_8,d2H_9,d18O_9,d2H_10,d18O_10
2018-09-27,,0.7392197125256673,,,,,,,,,,,,,,,,,,,,
2018-09-28,2.1500000000000004,0.7419575633127993,-107.25216069413575,-12.532871606286882,-63.068410924840556,-9.433224625547716,-154.49953660427855,-18.612177441813525,-154.49953660427855,-18.612177441813525,-154.49953660427855,-18.612177441813525,-148.35677948555178,-18.601065469387194,-99.9356786046265,-12.106207276519203,-107.25216069413575,-12.106207276519203,-112.27126673576586,-14.858556726358879,-148.35677948555178,-18.601065469387194
2018-09-29,1.75,0.7446954140999319,-72.15628598200713,-8.251440915061146,-116.75786288610404,-14.36607739424285,-95.79452038249556,-11.526610642484796,-72.15628598200713,-9.538428209952453,-63.841244744200814,-8.251440915061146,-108.02499451349601,-14.18158741805579,-116.99600465616643,-15.940957836088568,-116.75786288610404,-14.963760310763616,-116.75786288610404,-14.963760310763616,-95.79452038249556,-12.211410860923941
2018-09-30,5.499999999999999,0.747433264887064,-92.77052377094041,-9.643557763972229,-86.99409414296542,-9.643557763972229,-64.61431338711799,-8.35657046908092,-101.48158106690394,-11.63174019650457,-111.99554908664362,-12.743204744711393,-108.79806315641319,-12.316540414943715,-101.48158106690394,-13.765903773694077,-64.61431338711799,-8.35657046908092,-108.79806315641319,-12.743204744711393,-108.79806315641319,-12.743204744711393
2018-10-01,2.3200000000000003,0.7501711156741959,-97.340663728438,-12.42156482905213,-93.54359847396567,-11.736764610612985,-150.67575665085448,-18.91642302192012,-128.86953596833175,-16.468260412685428,-97.340663728438,-11.736764610612985,-97.340663728438,-11.736764610612985,-97.340663728438,-15.173914278891806,-118.30400623204648,-15.173914278891806,-109.57113785943845,-14.57623136237104,-118.30400623204648,-15.173914278891806
2018-10-02,1.6,0.7529089664613274,-66.16024008803427,-8.566483078972562,-119.31499999999988,-19.021311217703346,-113.54147578755989,-14.496629581967206,-110.34398985732946,-16.255999999999986,-157.59136576747227,-19.032423190129677,-66.16024008803427,-8.566483078972562,-110.34398985732946,-14.496629581967206,-110.34398985732946,-13.97581638358572,-157.59136576747227,-19.032423190129677,-157.59136576747227,-19.032423190129677
2018-10-03,1.5500000000000005,0.7556468172484606,-111.11639045074669,-11.946373745749714,-114.31387638097712,-14.080537322939222,-95.08885106527391,-11.946373745749714,-130.41478855964,-16.677869547822155,-98.88591631974624,-13.057838293956538,-152.22100924216272,-16.677869547822155,-130.41478855964,-16.360720939353488,-103.79990836123744,-14.080537322939222,-119.84925882335472,-14.785840497507769,-158.36376636088949,-19.13714412948318
2018-10-04,6.63,0.758384668035592,-111.88811107392688,-12.05089644006261,-120.8591212165973,-14.890363191820665,-76.019402542438,-8.77572671263896,-116.90721711555699,-14.890363191820665,-99.65763694292643,-14.185060017252118,-116.90721711555699,-14.185060017252118,-115.08559700415731,-13.162360988269434,-120.8591212165973,-16.465243633666383,-116.90721711555699,-14.185060017252118,-120.8591212165973,-16.465243633666383
2018-10-05,6.869999999999998,0.7611225188227239,-153.76354215373846,-19.33484837069526,-121.39179173493045,-15.592339627666945,-159.90629927246522,-19.34596034312159,-100.42844923132198,-13.266654507594948,-131.95732147121572,-16.886685761460566,-96.63138397684965,-11.378623369267112,-117.67802940395254,-15.592339627666945,-159.90629927246522,-19.34596034312159,-131.95732147121572,-15.592339627666945,-131.95732147121572,-19.33484837069526
2018-10-06,1.4400000000000004,0.7638603696098561,-69.24484945088082,-8.984053714172317,-69.24484945088082,-8.984053714172317,-118.44770526180612,-15.098690193354022,-97.40105983470323,-12.259223441595967,-160.67597513031882,-19.449993825329432,-154.53321801159206,-16.99071924366841,-97.40105983470323,-12.944023660035112,-122.16146759278404,-15.696373109874788,-113.42859922017601,-14.393387018785475,-69.24484945088082,-8.984053714172317
